Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
11/6/2019,14:15,352148,MCLS,Buy,1218,0.8204,11.95,5,,,""
6/9/2019,00:00,352148,MCLS,Dividend,1218,0.0129967159278,,,,,""
9/6/2020,14:09,352148,MCLS,Sell,1218,0.501001642036,11.95,0,,,""
8/10/2019,14:54,380384,TUI,Buy,111,9.06153153153,11.95,0,,,""
26/2/2020,14:11,380384,TUI,Dividend,111,0.329099099099,,,,,""
13/10/2020,14:06,380384,TUI,Sell,111,2.82945945946,11.95,0,,,""
14/8/2018,10:04,384104,DFS,Buy,456,2.194,11.95,5,,,""
27/12/2018,00:00,384104,DFS,Dividend,456,0.075,,,,,""
19/6/2019,00:00,384104,DFS,Dividend,456,0.0369956140351,,,,,""
13/8/2019,14:09,384104,DFS,Sell,456,2.242401,11.95,0,,,""
9/7/2019,14:26,476700,TIFS,Buy,523,1.9109751434,11.95,5,,,""
27/9/2019,00:00,476700,TIFS,Dividend,523,0.0275908221797,,,,,""
14/7/2020,14:13,476700,TIFS,Sell,523,1.73445506692,11.95,0,,,""
8/12/2020,14:15,514130,WOSG,Buy,291,5.14865979381,11.95,7.49,,,""
4/5/2021,11:26,514130,WOSG,Buy,207,7.22951690821,11.95,7.48,,,""
10/1/2022,12:22,514130,WOSG,Buy,106,14.1718867925,11.95,7.51,,,""
19/4/2022,09:28,514130,WOSG,Sell,604,11.46401,11.95,0,,,""
1/4/2021,14:14,522828,BRCK,Buy,1854,0.809002157497,11.95,0,,,""
23/9/2021,00:00,522828,BRCK,Dividend,1854,0.0108522114347,,,,,""
14/1/2022,13:38,522828,BRCK,Buy,1516,0.984498680739,11.95,0,,,""
24/2/2022,00:00,522828,BRCK,Dividend,3370,0.00959940652819,,,,,""
19/4/2022,08:33,522828,BRCK,Sell,3370,0.9553,11.95,0,,,""
