Date,Time,IonicID,Ticker,Type,Shares,Price,Broker,Stamp,Total,NonCash,Note
14/1/2022,00:00,3938,DSCV,Dividend,586,0.0334982935154,,,,,""
1/2/2022,08:02,3938,DSCV,Sell,586,8.56759385666,11.95,0,,,""
11/12/2018,14:00,3951,AGK#1,Buy,141,7.0847,11.95,4.99,,,""
24/5/2019,00:00,3951,AGK#1,Dividend,141,0.177375886525,,,,,""
1/10/2019,00:00,3951,AGK#1,Dividend,141,0.093829787234,,,,,""
10/12/2019,14:50,3951,AGK#1,Sell,141,8.18737588652,11.95,0,,,""
10/3/2020,14:07,3962,SDY,Buy,1470,0.68,11.95,5,,,""
1/3/2021,14:21,3962,SDY,Sell,1470,0.671210884354,11.95,0,,,""
13/3/2018,14:46,3975,AAL,Buy,58,17.3908,11.95,5.04,,,""
11/5/2018,00:00,3975,AAL,Dividend,58,0.386724137931,,,,,""
21/9/2018,00:00,3975,AAL,Dividend,58,0.378965517241,,,,,""
3/5/2019,00:00,3975,AAL,Dividend,58,0.388620689655,,,,,""
20/9/2019,00:00,3975,AAL,Dividend,58,0.515172413793,,,,,""
16/3/2020,14:40,3975,AAL,Sell,58,12.2898275862,11.95,0,,,""
11/5/2020,00:00,3975,AAL,Dividend,58,0.376034482759,,,,,""
9/6/2020,14:11,3995,AZN,Buy,18,82.8644444444,11.95,7.46,,,""
14/9/2020,00:00,3995,AZN,Dividend,18,0.696111111111,,,,,""
29/3/2021,00:00,3995,AZN,Dividend,18,1.37388888889,,,,,""
4/5/2021,11:09,3995,AZN,Sell,18,77.175,11.95,0,,,""
8/9/2020,14:18,4009,AVON,Buy,40,37.12425,11.95,7.42,,,""
12/3/2021,00:00,4009,AVON,Dividend,40,0.1805,,,,,""
4/5/2021,11:08,4009,AVON,Sell,40,33.12325,11.95,0,,,""
10/9/2019,14:27,4011,BAB,Buy,189,5.31544973545,11.95,5.02,,,""
17/1/2020,19:55,4011,BAB,Dividend,189,0.0720105820106,,,,,""
8/9/2020,14:14,4011,BAB,Sell,189,2.52074074074,11.95,0,,,""
9/4/2019,14:17,4046,BMY,Buy,443,2.253999,11.95,4.99,,,""
23/8/2019,00:00,4046,BMY,Dividend,443,0.0674943566591,,,,,""
6/12/2019,14:54,4046,BMY,Dividend,443,0.0127990970655,,,,,""
15/4/2020,14:04,4046,BMY,Sell,443,2.18424379233,11.95,0,,,""
10/7/2018,14:13,4063,IAG,Buy,148,6.7762,11.95,0,,,""
4/12/2018,00:00,4063,IAG,Dividend,148,0.103581081081,,,,,""
9/7/2019,00:00,4063,IAG,Dividend,148,0.118581081081,,,,,""
9/7/2019,00:01,4063,IAG,Dividend,148,0.310608108108,,,,,""
9/7/2019,14:25,4063,IAG,Sell,148,4.41993243243,11.95,0,,,""
12/11/2019,14:15,4063,IAG,Buy,183,5.449989,11.95,0,,,""
3/12/2019,14:54,4063,IAG,Dividend,183,0.0995628415301,,,,,""
24/9/2020,00:00,4063,IAG,Dividend,183,0.195846994536,,,,,"Sale of Rights"
10/11/2020,14:08,4063,IAG,Sell,183,1.35109289617,11.95,0,,,""
13/8/2019,14:13,4064,BATS,Buy,33,30.1075757576,11.95,4.97,,,""
14/11/2019,14:53,4064,BATS,Dividend,33,0.507575757576,,,,,""
6/2/2020,19:56,4064,BATS,Dividend,33,0.507575757576,,,,,""
13/5/2020,00:00,4064,BATS,Dividend,33,0.526060606061,,,,,""
11/8/2020,14:14,4064,BATS,Buy,19,25.9289473684,11.95,2.46,,,""
19/8/2020,00:00,4064,BATS,Dividend,52,0.333846153846,,,,,""
12/11/2020,00:00,4064,BATS,Dividend,52,0.525961538462,,,,,""
3/2/2021,00:00,4064,BATS,Dividend,52,0.525961538462,,,,,""
4/5/2021,11:10,4064,BATS,Sell,52,27.1517307692,11.95,0,,,""
12/5/2021,00:00,4064,BATS,Dividend,59,0.475084745763,,,,,""
11/12/2018,14:00,4072,BT.A,Buy,394,2.53875,11.95,5,,,""
4/2/2019,00:00,4072,BT.A,Dividend,394,0.046192893401,,,,,""
9/9/2019,00:00,4072,BT.A,Dividend,394,0.107791878173,,,,,""
10/12/2019,14:50,4072,BT.A,Sell,394,1.88677664975,11.95,0,,,""
11/12/2018,14:00,4122,CARR,Buy,656,1.525,11.95,5,,,""
31/5/2019,00:00,4122,CARR,Dividend,656,0.01125,,,,,""
4/10/2019,00:01,4122,CARR,Dividend,656,0.01125,,,,,""
10/12/2019,14:51,4122,CARR,Sell,656,1.51800304878,11.95,0,,,""
10/1/2020,19:53,4122,CARR,Dividend,588,0.0278911564626,,,,,""
11/10/2021,08:00,4129,CNA,Buy,5000,0.598856,11.95,14.97,,,""
20/4/2022,08:51,4129,CNA,Sell,1250,0.786584,11.95,0,,,""
30/5/2022,08:00,4129,CNA,Sell,1250,0.77346,11.95,0,,,""
20/6/2022,08:01,4129,CNA,Sell,1250,0.788352,11.95,0,,,""
9/5/2022,08:04,4141,CHG,Buy,2532,3.625924,11.95,45.9,,,""
20/6/2022,08:00,4141,CHG,Sell,2532,3.1575,11.95,0,,,""
15/4/2020,14:10,4170,CCC,Buy,106,14.2345283019,11.95,7.54,,,""
23/10/2020,00:00,4170,CCC,Dividend,106,0.123018867925,,,,,""
1/4/2021,14:09,4170,CCC,Sell,106,24.1103773585,11.95,0,,,""
10/11/2020,14:12,4328,FUTR,Buy,75,19.786,11.95,7.42,,,""
16/2/2021,00:00,4328,FUTR,Dividend,75,0.016,,,,,""
4/5/2021,11:15,4328,FUTR,Buy,63,23.5038095238,11.95,7.4,,,""
9/2/2022,00:00,4328,FUTR,Dividend,138,0.0279710144928,,,,,""
1/3/2022,10:41,4328,FUTR,Sell,138,25.1326086957,11.95,0,,,""
19/12/2017,14:00,4331,GFRD,Buy,81,12.4258,11.95,5.03,,,""
6/4/2018,00:00,4331,GFRD,Dividend,58,0.391034482759,,,,,""
26/4/2018,00:00,4331,GFRD,Dividend,27,2.90296296296,,,,,"Rights Issue"
5/12/2018,00:00,4331,GFRD,Dividend,151,0.262847682119,,,,,""
11/12/2018,14:00,4331,GFRD,Sell,81,6.0234,11.95,0,,,""
13/6/2022,08:02,4343,GOG,Buy,392,11.92,11.95,23.36,,,""
12/6/2018,14:12,4357,GNK#1,Buy,160,6.2438,11.95,5,,,""
14/9/2018,00:00,4357,GNK#1,Dividend,160,0.244,,,,,""
18/1/2019,00:00,4357,GNK#1,Dividend,160,0.088,,,,,""
13/9/2019,00:00,4357,GNK#1,Dividend,160,0.244,,,,,""
13/11/2019,22:49,4357,GNK#1,Sell,160,8.5,0,0,,,""
9/10/2018,14:00,4377,HEAD,Buy,218,4.58467889908,11.95,5,,,""
2/1/2019,00:00,4377,HEAD,Dividend,218,0.075504587156,,,,,""
1/7/2019,00:00,4377,HEAD,Dividend,218,0.174495412844,,,,,""
8/10/2019,14:52,4377,HEAD,Sell,218,4.41394495413,11.95,0,,,""
11/2/2020,14:12,4377,HEAD,Buy,186,5.36397849462,11.95,4.99,,,""
1/2/2021,14:21,4377,HEAD,Sell,186,3.86102150538,11.95,0,,,""
2/8/2021,14:11,4397,HILS,Buy,91,16.3642857143,11.95,7.45,,,""
7/1/2022,00:00,4397,HILS,Dividend,91,0.12,,,,,""
1/2/2022,08:10,4397,HILS,Sell,91,15.076043956,11.95,0,,,""
1/9/2021,12:07,4456,JD.,Buy,144,10.355,11.95,7.46,,,""
30/11/2021,09:23,4456,JD.,Split,720,,,,,,""
1/2/2022,08:00,4456,JD.,Sell,720,1.890375,11.95,0,,,""
14/6/2017,00:00,4458,CMS#1,Buy,2048,0.488199,11.95,5,,,""
13/10/2017,00:00,4458,CMS#1,Dividend,58,0.314310344828,,,,,""
18/5/2018,00:00,4458,CMS#1,Dividend,58,0.625,,,,,""
12/10/2018,00:00,4458,CMS#1,Dividend,148,0.128716216216,,,,,""
20/12/2018,00:00,4458,CMS#1,Sell,2048,0.71,0,0,,,""
10/9/2019,14:26,4468,KLR,Buy,150,6.70553333333,11.95,5.03,,,""
21/8/2020,14:53,4468,KLR,Dividend,52,0.672115384615,,,,,""
8/9/2020,14:15,4468,KLR,Sell,150,6.16346666667,11.95,0,,,""
10/12/2019,14:51,4474,KGF,Buy,469,2.12906183369,11.95,4.99,,,""
8/12/2020,14:11,4474,KGF,Sell,469,2.63618336887,11.95,0,,,""
14/1/2020,14:35,4513,LOOK,Buy,1624,0.615757389163,11.95,5,,,""
1/2/2021,14:19,4513,LOOK,Sell,1624,0.400837438424,11.95,0,,,""
30/5/2022,08:30,4536,EMG,Buy,3248,2.5777,11.95,0,,,""
20/6/2022,08:00,4536,EMG,Sell,1624,2.386,11.95,0,,,""
10/10/2017,14:28,4539,MKS,Buy,286,3.502748,11.95,5.01,,,""
12/1/2018,00:00,4539,MKS,Dividend,286,0.068006993007,,,,,""
13/7/2018,00:00,4539,MKS,Dividend,286,0.118986013986,,,,,""
11/1/2019,00:00,4539,MKS,Dividend,286,0.068006993007,,,,,""
27/6/2019,00:00,4539,MKS,Dividend,286,0.0518181818182,,,,,""
12/7/2019,00:00,4539,MKS,Dividend,286,0.071013986014,,,,,""
8/10/2019,14:52,4539,MKS,Sell,286,1.66870629371,11.95,0,,,""
9/4/2019,14:16,4582,MGNS,Buy,79,12.630398,11.95,4.99,,,""
20/5/2019,00:00,4582,MGNS,Dividend,79,0.34,,,,,""
28/10/2019,00:00,4582,MGNS,Dividend,79,0.21,,,,,""
